,Components,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,
,Ketidakpastian Sensor/Termokopel,,,Thermocouple Type K,,,, oC,,normal,,,,0.44,,2,,200,,0.22,,,1,,0.22,,,0.0484,,,,1.17128e-05,,,,
,Ketidakpastian Baku Resolusi Standar,,,Temperature Recorder,,,, oC,,Rect.,,,0.05,,,1.7320508075688772,,200,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,3.4722222222222234e-09,,,,
,Ketidakpastian Baku Drift Temp. Kalibrator,,,Temperature Recorder,,,, oC,,Rect.,,,0.5,,,1.73,,50,,0.28901734104046245,,,1,,0.28901734104046245,,,0.08353102342209898,,,,0.00013954863747886494,,,,
,Ketidakpastian Baku Drift Sensor/Termokopel,,,Thermocouple Type K,,,, oC,,Rect.,,,0.55,,,1.73,,50,,0.3179190751445087,,,1,,0.3179190751445087,,,0.10107253834073976,,,,0.00020431316013280618,,,,
,Ketidakpastian Baku resolusi Alat,,,,,,, oC,,rect.,,,0.05,,,1.7320508075688772,,1000000,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,6.944444444444447e-13,,,,
,Ketidakpastian Baku Pengulangan Pembacaan Standar,,,Temperature Recorder,,,, oC,,Rect.,,,0.01999999999999602,,,1.7320508075688772,,4,,0.01519671371302883,,,1,,0.01519671371302883,,,0.00023094010767575845,,,,1.3333333333322728e-08,,,,
,Ketidakpastian Baku Pengulangan Pembacaan Indikator,,,,,,, oC,,normal,,,0.05477225575052128,,,2,,5,,0.02738612787526064,,,1,,0.02738612787526064,,,0.000750000000000128,,,,1.1250000000003839e-07,,,,
,Ketidakpastian Efek radiasi,,,,,,, oC,,rect.,,,0.1,,,1.7320508075688772,,8,,0.05773502691896258,,,1,,0.05773502691896258,,,0.003333333333333334,,,,1.3888888888888894e-06,,,,
,Ketidakpastian Efek Pembebanan,,,,,,, oC,,rect.,,,0.1,,,1.7320508075688772,,8,,0.05773502691896258,,,1,,0.05773502691896258,,,0.003333333333333334,,,,1.3888888888888894e-06,,,,
,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35454283520384805,,,,0.0004214539347644489,,,,
,"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.5954349966233493,,,,,,,,
,"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,298.25471214223484,,,,,,,,
,"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,1.9679499475034947,,,,,,,,
,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,1.171786270346664,,,,,,, oC,
,CMC PT.SIDIK,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,, oC,
,"Ketidakpastian Bentangan Yang Dilaporkan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,, oC,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET POINT 3,,67,oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,STD Sensor :,,,,,Thermocouple Type K,,,,,,Enclosure Type :,,,,Oven ,,,,,,,,,,,,,,,,
,Components,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,
,Ketidakpastian Baku Temperature Kalibrator,,,Temperature Recorder,,,, oC,,normal,,,,0.67,,2,,200,,0.335,,,1,,0.335,,,0.11222500000000002,,,,6.297225312500002e-05,,,,
,Ketidakpastian Sensor/Termokopel,,,Thermocouple Type K,,,, oC,,normal,,,,0.44,,2,,200,,0.22,,,1,,0.22,,,0.0484,,,,1.17128e-05,,,,
,Ketidakpastian Baku Resolusi Standar,,,Temperature Recorder,,,, oC,,Rect.,,,0.05,,,1.7320508075688772,,200,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,,,,,
,Ketidakpastian Baku Drift Temp. Kalibrator,,,Temperature Recorder,,,, oC,,Rect.,,,0.5,,,1.73,,50,,0.28901734104046245,,,1,,0.28901734104046245,,,0.08353102342209898,,,,,,,,
,Ketidakpastian Baku Drift Sensor/Termokopel,,,Thermocouple Type K,,,, oC,,Rect.,,,0.55,,,1.73,,50,,0.3179190751445087,,,1,,0.3179190751445087,,,0.10107253834073976,,,,,,,,
,Ketidakpastian Baku resolusi Alat,,,,,,, oC,,rect.,,,0.05,,,1.7320508075688772,0,1000000,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,6.944444444444447e-13,,,,
,Ketidakpastian Baku Pengulangan Pembacaan Standar,,,Temperature Recorder,,,, oC,,Rect.,,,0.01999999999999602,,,1.7320508075688772,,4,,0.01519671371302883,,,1,,0.01519671371302883,,,0.00023094010767575845,,,,1.3333333333322728e-08,,,,
,Ketidakpastian Baku Pengulangan Pembacaan Indikator,,,,,,, oC,,normal,,,0.05477225575052128,,,2,,5,,0.02738612787526064,,,1,,0.02738612787526064,,,0.000750000000000128,,,,1.1250000000003839e-07,,,,
,Ketidakpastian Efek radiasi,,,,,,, oC,,rect.,,,0.1,,,1.7320508075688772,,8,,0.05773502691896258,,,1,,0.05773502691896258,,,0.003333333333333334,,,,1.3888888888888894e-06,,,,
